dialogueId,utterance_no,authorRole,utterance,emotions,emoIntensity
0,0,bot,"Hello, this is a guard to help you in a safe environment.","confident,anticipation","1,1"
0,1,user,On the last Friday three slugs cast sharp spells on my wife.,"sad,anger","3,3"
0,2,bot,"So disgusting, can I know whom I'm talking with?","sad,anticipation","3,1"
0,3,user,I want those monster men to be punished soon.,"anger,confident","3,2"
0,4,bot,"Okay, Are you sure you want me to share the date, location, and location of the event?",anticipation,1
0,5,user,The incident took place on 30.11.2020 on the back of the event.,neutral,0
0,6,bot,"Well, have you done any complaint in the police?",anticipation,1
0,7,user,"The local police have written the case but she's not taking it seriously. It's like daily activity for them, bad people.",annoyed,2
0,8,bot,"Well, in such a situation you can find the following help: DCP, police complain, legal aid, non government organization help, online complaint aid, Fast track court.",confident,3
0,9,user,How can I contact DCP?,hopeful,1
0,10,bot,"We're providing details for your help and mobile numbers. DCP Rhnin, Lance market, wateryre, Herayyyyyyyre 254828.",neutral,0
0,11,user,"Thanks for this help. I'm really distressed. I hope this will work, and my wife will get justice.","sad,hopeful","3,2"
0,12,bot,Do you need some more help?,neutral,0
0,13,user,How far is the DCP office from my location?,anticipation,1
0,14,bot,This is 6 km away from your current location.,neutral,0
0,15,user,Thank you very much.,joy,1
0,16,bot,Do you need some more help?,neutral,0
0,17,user,"No, thank you.",neutral,0
0,18,bot,Take care of yourself. Have good day.,joy,1
1,0,bot,"Hello, this is keeper, a bot to help you in the safe environment.",confident,2
1,1,user,I don't understand where and where to ask for help.,sad,3
1,2,bot,"Please don't panic, surely you will be helped. Can I know who I am talking to?",anticipation,2
1,3,user,I can't reveal my identity.,neutral,0
1,4,bot,"Hi lamp (ic_name), please tell me details about your problem for your better?",anticipation,2
1,5,user,"Tomorrow when I was going to the market with my nephew, 6 people raped me and forced my nephew to do it too.","disgusted,sad,anger","3,3,3"
1,6,bot,Have you complained about that?,"sad,anticipation","2,2"
1,7,user,I don't know where to go. Who can help me?,sad,3
1,8,bot,"We are here available for your help. You can go to the following aid: police complaint, female aid group, non government organization, medical help, SIUCW.","confident,anticipation","3,1"
1,9,user,I want to report to the police against these monsters.,confident,1
1,10,bot,"Well, would you go to online/offline complaint?",anticipation,2
1,11,user,How can I enter online complaint?,hopeful,1
1,12,bot,You'll be given an online form to fill and store up. You'll get a shower within 24 hours.,confident,2
1,13,user,"Okay, please help me with this option.","confident,hopeful","3,1"
1,14,bot,"Of course, would you please share my Kingdom hope with me?",anticipation,2
1,15,user,I live in a concentration hole.,neutral,0
1,16,bot,"All right, thank you for the place.",confident,2
1,17,user,Thank you for the help.,joy,1
1,18,bot,Do you need some more help?,anticipation,2
1,19,user,"No, thank you.",neutral,0
1,20,bot,"Take care of yourself, good day!",joy,1
2,0,bot,"Hello, this is keeper, a bot to help you in the safe environment.",confident,2
2,1,user,I don't understand where and where to ask for help.,sad,3
2,2,bot,"Please don't panic, surely you will be helped. Can I know who I am talking to?",anticipation,2
2,3,user,I can't reveal my identity.,neutral,0
2,4,bot,"Hi lamp (ic_name), please tell me details about your problem for your better?",anticipation,2
2,5,user,"Tomorrow when I was going to the market with my nephew, 6 people raped me and forced my nephew to do it too.","disgusted,sad,anger","3,3,3"
2,6,bot,Have you complained about that?,"sad,anticipation","2,2"
2,7,user,I don't know where to go. Who can help me?,sad,3
2,8,bot,"We are here available for your help. You can go to the following aid: police complaint, female aid group, non government organization, medical help, SIUCW.","confident,anticipation","3,1"
2,9,user,I need some medical help for myself.,"confident,hopeful","3,1"
2,10,bot,"Of course, can you please share your place for quick service to me?",anticipation,2
2,11,user,"I live in the HECYA, in the midst of HECHO, in the midst of the hearts of the children of Israel.",neutral,0
2,12,bot,"All right, thank you for the location. Here's details: Lifeary Hospital, Dr.",neutral,0
2,13,user,Thank you for the information.,joy,1
2,14,bot,Do you need another aid?,anticipation,2
2,15,user,Can you please tell me how far this is from my location?,hopeful,1
2,16,bot,"Yeah, it's 2.8, away from your location.",confident,2
2,17,user,Thank you for the details.,joy,1
2,18,bot,Do you need another aid?,anticipation,2
2,19,user,"No, bye.",neutral,0
2,20,bot,Take care of yourself. Have a good day.,joy,1
3,0,bot,"Hello, this is keeper, a bot to help you in the safe environment.",confident,2
3,1,user,I don't understand where and where to ask for help.,sad,3
3,2,bot,"Please don't panic, surely you will be helped. Can I know who I am talking to?",anticipation,2
3,3,user,I can't reveal my identity.,neutral,0
3,4,bot,"Hi lamp (ic_name), please tell me details about your problem for your better?",anticipation,2
3,5,user,"Tomorrow when I was going to the market with my nephew, 6 people raped me and forced my nephew to do it too.","disgusted,sad,anger","3,3,3"
3,6,bot,Have you complained about that?,"sad,anticipation","2,2"
3,7,user,I don't know where to go. Who can help me?,sad,3
3,8,bot,"We are here available for your help. You can go to the following aid: police complaint, female aid group, non government organization, medical help, SIUCW.","confident,anticipation","3,1"
3,9,user,Can you give me a few women's contact with the help group?,hopeful,1
3,10,bot,"Okay, please share my location.",anticipation,2
3,11,user,"I live in a red jar, yellow.",neutral,0
3,12,bot,"All right, thank you for your location. Here's details. woman's city, red pot, scitation, pharmact, pharmacat, range 9854747#########.",neutral,0
3,13,user,Thank you for the information.,joy,1
3,14,bot,Do you need some more help?,anticipation,2
3,15,user,Do I have another help group from which I can contact?,hopeful,1
3,16,bot,"Yes, here's details: Woman's power, sira, rascit, phartique, Nicka slave 95878##########.",neutral,0
3,17,user,Thank you for this help.,joy,1
3,18,bot,Do you need some more help?,anticipation,2
3,19,user,No.,neutral,0
3,20,bot,Take care of yourself. Have a good day.,joy,1
4,0,bot,"Hello, this is keeper, a bot to help you in the safe environment.",confident,2
4,1,user,I don't understand where and where to ask for help.,sad,3
4,2,bot,"Please don't panic, surely you will be helped. Can I know who I am talking to?",anticipation,2
4,3,user,I can't reveal my identity.,neutral,0
4,4,bot,"Hi lamp (ic_name), please tell me details about your problem for your better?",anticipation,2
4,5,user,"Tomorrow when I was going to the market with my nephew, 6 people raped me and forced my nephew to do it too.","disgusted,sad,anger","3,3,3"
4,6,bot,Have you complained about that?,"sad,anticipation","2,2"
4,7,user,I don't know where to go. Who can help me?,sad,3
4,8,bot,"We are here available for your help. You can go to the following aid: police complaint, female aid group, non government organization, medical help, SIUCW.","confident,anticipation","3,1"
4,9,user,I want to go to the SUCAW help.,confident,3
4,10,bot,"Okay, please share my Kingdom location.",anticipation,2
4,11,user,"I live near Ch'in square, Pata - 82305",neutral,0
4,12,bot,"All right, thank you for the location.","neutral,confident","0,1"
4,13,user,Thank you for the help.,joy,1
4,14,bot,Do you need some more help?,anticipation,2
4,15,user,"No, thank you.",neutral,0
4,16,bot,Take care of yourself. Have a good day.,joy,1
5,0,bot,"Hello, this is keeper, a bot to help you in the safe environment.",confident,2
5,1,user,I don't understand where and where to ask for help.,sad,3
